iter	Accuracy	Logloss
0	0.8338945006	0.6812149409
1	0.8316498316	0.6694047895
2	0.8305274972	0.6585304408
3	0.8338945006	0.647801203
4	0.8260381594	0.6385942685
5	0.8294051627	0.6287271889
6	0.8294051627	0.6194422116
7	0.8271604938	0.6116632958
8	0.8282828283	0.6031844025
9	0.8260381594	0.5951553479
10	0.8271604938	0.5873041751
11	0.8294051627	0.5794647878
